"Rank","Artist","Song"
966,"Fabio XB feat. Micky Vi"," Make This Your Day (Gareth Emery Remix)"
967,"Neptune Project"," Aztec"
968,"Bogdan Vix & Claudiu Adam feat. Mona Moua"," Stay"
969,"Myon & Shane 54 feat. Labworks"," Ibiza Sunrise (Classic Dub)"
970,"Gabriel & Dresden"," Let Go"
971,"W&W"," Search For Tomorrow"
972,"Solarstone & Scott Bond"," Naked Angel"
973,"Andrew Bayer"," From The Earth (Breakfast Remix)"
974,"Inertia"," The System (Sean Tyas & Tom Colontonio Remix)"
975,"Myon & Shane 54 feat. Carrie Skipper"," Vampire (Club Mix)"
976,"Leon Bolier pres. Surpresa"," Poseidon"
977,"Max Graham"," The Evil I.D. (Mark Sherry Remix)"
978,"Ruben de Ronde & Donata"," Stand In My Way (FEEL Remix)"
979,"Sean Tyas"," Chrome"
980,"Sander van Doorn"," Koko"
981,"A Force"," Crystal Dawn (A Tribute To ’99 Remix)"
982,"ilan Bluestone & Jerome Isma-Ae"," Under My Skin"
983,"Vincent de Moor"," Flowation"
984,"Agnelli & Nelson"," Hudson Street"
985,"Simon Patterson"," Smack (WAIO Remix)"
986,"Lost Witness vs Sassot"," Whatever (Aly & Fila Remix)"
987,"Salt Tank"," Eugina (Michael Woods Remix)"
988,"Elevation"," Ocean Rain"
989,"Adam Nickey"," Never Gone (Above & Beyond Respray)"
990,"Andy Moor feat. Sue McLaren"," Fight The Fire (Stoneface & Terminal Remix)"
991,"M.I.K.E. pres. Plastic Boy"," Chocolate Infusion"
992,"Greg Downey & Bo Bruce"," These Hands I Hold (Sean Tyas Remix)"
993,"Ron van den Beuken"," Timeless (Ron van den Beuken Remix)"
994,"Omnia"," Infina"
995,"Elevven"," One Last Time"
996,"Late Night Alumni"," Empty Streets (Lumïsade Balearic Mix)"
997,"ATN"," Miss A Day"
998,"Nic Chagall"," Monday Bar"
999,"Mark Otten"," So Serene (Menno de Jong Fierce Dub)"
1000,"Robert Nickson"," Circles"
